KabupatenKota;UHH2021;HLS2021;RLS2021;PPD2021;IPM2021
PROVINSI JAWA TENGAH;74.47;12.77;7.75;11034.00;72.16
Kabupaten Cilacap;73.90;12.63;7.09;10534.00;70.42
Kabupaten Banyumas;73.80;13.03;7.63;11546.00;72.44
Kabupaten Purbalingga;73.21;12.00;7.25;10032.00;69.15
Kabupaten Banjarnegara;74.28;11.63;6.75;9407.00;67.86
Kabupaten Kebumen;73.55;13.35;7.55;9028.00;70.05
Kabupaten Purworejo;74.87;13.51;8.21;10275.00;72.98
Kabupaten Wonosobo;71.94;11.76;6.82;10760.00;68.43
Kabupaten Magelang;73.88;12.55;7.79;9440.00;70.12
Kabupaten Boyolali;76.03;12.57;7.85;13031.00;74.40
Kabupaten Klaten;76.86;13.39;8.81;12017.00;76.12
Kabupaten Sukoharjo;77.73;13.84;9.35;11428.00;77.13
Kabupaten Wonogiri;76.28;12.50;7.34;9429.00;70.49
Kabupaten Karanganyar;77.55;13.69;8.57;11509.00;75.99
Kabupaten Sragen;75.79;12.84;7.66;12679.00;74.08
Kabupaten Grobogan;74.84;12.44;7.11;10294.00;70.41
Kabupaten Blora;74.51;12.35;6.99;9669.00;69.37
Kabupaten Rembang;74.61;12.12;7.30;10519.00;70.43
Kabupaten Pati;76.27;12.94;7.48;10506.00;72.28
Kabupaten Kudus;76.68;13.24;8.76;11272.00;75.16
Kabupaten Jepara;75.91;12.76;7.79;10536.00;72.36
Kabupaten Demak;75.46;13.32;7.86;10248.00;72.57
Kabupaten Semarang;75.79;12.98;8.03;12070.00;74.24
Kabupaten Temanggung;75.64;12.32;7.25;9408.00;69.88
Kabupaten Kendal;74.48;12.96;7.46;11608.00;72.50
Kabupaten Batang;74.74;12.13;6.88;9524.00;68.92
Kabupaten Pekalongan;73.74;12.42;7.17;10409.00;70.11
Kabupaten Pemalang;73.53;11.96;6.45;8573.00;66.56
Kabupaten Tegal;71.72;12.89;6.99;9700.00;68.79
Kabupaten Brebes;69.54;12.05;6.22;10152.00;66.32
Kota Magelang;76.93;14.15;10.62;12349.00;79.43
Kota Surakarta;77.32;14.88;10.90;14911.00;82.62
Kota Salatiga;77.55;15.42;10.66;15843.00;83.60
Kota Semarang;77.51;15.53;10.78;15425.00;83.55
Kota Pekalongan;74.44;12.85;9.18;12598.00;75.40
Kota Tegal;74.54;13.07;8.73;13143.00;75.52
;;;;;
;;;;;
;;;;;
;;;;;
